"Bucket label","RT","m/z","Name","Formula","IH_Met_Vial12_BLANK01_12_1_11301","IH_Met_Vial57_027_57_1_11328","IH_Met_Vial58_028_58_1_11329","IH_Met_Vial59_029_59_1_11330","IH_Met_Vial60_030_60_1_11331","IH_Met_Vial43_031_43_1_11332","IH_Met_Vial44_032_44_1_11333","IH_Met_Vial45_033_45_1_11334","IH_Met_Vial46_034_46_1_11335","IH_Met_Vial47_035_47_1_11336","IH_Met_Vial48_036_48_1_11337","IH_Met_Vial31_037_31_1_11338","IH_Met_Vial32_038_32_1_11339","IH_Met_Vial33_039_33_1_11340","IH_Met_Vial34_040_34_1_11341","IH_Met_Vial35_041_35_1_11342","IH_Met_Vial36_042_36_1_11343","IH_Met_Vial19_043_19_1_11344","IH_Met_Vial20_044_20_1_11345","IH_Met_Vial21_045_21_1_11346","IH_Met_Vial22_046_22_1_11347","IH_Met_Vial23_047_23_1_11348","IH_Met_Vial24_048_24_1_11349","IH_Met_Vial7_049_7_1_11350","IH_Met_Vial8_050_8_1_11351","IH_Met_Vial9_051_9_1_11352","IH_Met_Vial10_052_10_1_11353","IH_Met_Vial12_BLANK02_12_1_11354"
"Sample",,,,,"BLANK","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","GLC _ ASP","GLC _ GLN","GLC _ AMN","GAL _ ASP","GAL _ GLN","GAL _ AMN","CTRL","CTRL","BLANK"
"281.22814 Da 902.85 s",15.05,282.23541,,,0.0,6984.8095703125,6447.0244140625,0.0,6585.3193359375,4889.32568359375,0.0,6295.884765625,6030.9443359375,6018.01025390625,6870.94775390625,10545.2431640625,15692.7041015625,11784.150390625,18956.69921875,17618.017578125,18476.568359375,11650.84375,9900.9462890625,18641.25390625,0.0,18340.462890625,18877.2734375,6993.9091796875,0.0,0.0,0.0,6477.97607421875
"759.45588 Da 902.90 s",15.05,760.46316,,,0.0,1105.6112060546875,0.0,0.0,2302.21728515625,0.0,0.0,14534.5263671875,10654.1875,7538.517578125,3561.995849609375,2499.951416015625,1981.6373291015625,2034.2957763671875,2055.909912109375,1648.8768310546875,73.428466796875,1790.8134765625,2838.341552734375,2262.025634765625,0.0,2315.812255859375,1875.9840087890625,1912.1580810546875,0.0,0.0,0.0,2566.510986328125
"308.14803 Da 903.13 s",15.05,309.15531,,,0.0,782.3709716796875,1405.7645263671875,0.0,1407.4344482421875,1318.520751953125,0.0,1018.962890625,1093.408447265625,2059.717529296875,1325.8040771484375,1516.31396484375,1007.0859985351562,956.577392578125,973.1882934570312,1218.5252685546875,1198.334716796875,1465.3167724609375,1338.6571044921875,1951.9979248046875,0.0,1334.029541015625,1162.8026123046875,952.6441650390625,0.0,0.0,0.0,1686.99755859375
"708.33248 Da 903.09 s",15.05,709.33976,,,0.0,2071.055419921875,1889.197021484375,0.0,1921.6597900390625,1763.5693359375,0.0,1921.6275634765625,1785.0897216796875,2122.3916015625,2078.280029296875,1548.3619384765625,2162.5,2021.378662109375,2187.241455078125,1787.90283203125,2599.72509765625,2037.181640625,2139.104736328125,2767.823486328125,0.0,2651.709716796875,2528.05029296875,2311.643310546875,0.0,0.0,0.0,2208.7568359375
"612.23870 Da 903.15 s",15.05,307.12663,,,0.0,2233.22607421875,1626.0899658203125,0.0,1589.40087890625,1562.8905029296875,0.0,1703.9732666015625,844.3172607421875,1658.8538818359375,2079.4013671875,1954.30322265625,1323.794921875,2283.274658203125,1591.9117431640625,1746.0093994140625,1879.239990234375,2279.93017578125,1081.404052734375,1882.26513671875,0.0,1374.3778076171875,1883.576904296875,1372.875244140625,0.0,0.0,0.0,1459.595703125
"370.23431 Da 905.51 s",15.09,371.24158,,,2746.31396484375,132.54249572753906,76.15966796875,8821.9775390625,77.9002914428711,0.0,19061.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11043.9560546875,0.0,0.0,0.0,23933.904296875,13485.5615234375,12025.0703125,0.0
"627.48392 Da 905.71 s",15.10,628.49120,,,0.0,0.0,0.0,12990.2900390625,0.0,0.0,12849.603515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19444.41015625,0.0,0.0,0.0,20027.814453125,19428.74609375,19653.623046875,0.0
"671.50976 Da 904.52 s",15.08,672.51703,,,888.3770141601562,0.0,0.0,6857.34423828125,0.0,0.0,8055.44287109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8995.439453125,0.0,0.0,0.0,10623.3232421875,9746.8642578125,10622.3173828125,0.0
"370.16350 Da 905.97 s",15.10,371.17077,,,0.0,8223.2333984375,8086.28369140625,0.0,8838.5556640625,7450.947265625,0.0,9677.3515625,7133.60205078125,10199.0693359375,20732.0625,9893.099609375,7782.4638671875,8556.8251953125,9787.0791015625,11325.1025390625,8502.271484375,9052.6162109375,24429.41015625,12286.5517578125,55.8924560546875,10583.6591796875,12164.4482421875,11582.0224609375,0.0,348.3114318847656,0.0,11318.421875
"715.53666 Da 903.71 s",15.06,716.54394,,,0.0,0.0,0.0,3608.404052734375,0.0,0.0,3996.4677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5482.09619140625,0.0,0.0,0.0,5260.04736328125,5279.3076171875,4448.94580078125,0.0
