Compound Name,Formula,Mass,RT,CAS ID,[Mass] 20211026_D6_rep01,[Mass] 20211026_D5_rep01,[Mass] 20211026_D4_rep01,[Mass] 20211026_D3_rep01,[Mass] 20211026_D2_rep01,[Mass] 20211026_D1_rep01,[Mass] 20211026_CTRL_S_rep01,[Mass] 20211026_CTRL_F_rep01,[Mass] 20211026_C6_rep01,[Mass] 20211026_C5_rep01,[Mass] 20211026_C4_rep01,[Mass] 20211026_C3_rep01,[Mass] 20211026_C2_rep01,[Mass] 20211026_C1_rep01,[Mass] 20211026_Blank_02,[Mass] 20211026_Blank_01,[Mass] 20211026_B6_rep01,[Mass] 20211026_B5_rep01,[Mass] 20211026_B4_rep01,[Mass] 20211026_B3_rep01,[Mass] 20211026_B2_rep01,[Mass] 20211026_B1_rep01,[Mass] 20211026_A6_rep01,[Mass] 20211026_A5_rep01,[Mass] 20211026_A4_rep01,[Mass] 20211026_A3_rep01,[Mass] 20211026_A2_rep01,[Mass] 20211026_A1_rep01,[RT] 20211026_D6_rep01,[RT] 20211026_D5_rep01,[RT] 20211026_D4_rep01,[RT] 20211026_D3_rep01,[RT] 20211026_D2_rep01,[RT] 20211026_D1_rep01,[RT] 20211026_CTRL_S_rep01,[RT] 20211026_CTRL_F_rep01,[RT] 20211026_C6_rep01,[RT] 20211026_C5_rep01,[RT] 20211026_C4_rep01,[RT] 20211026_C3_rep01,[RT] 20211026_C2_rep01,[RT] 20211026_C1_rep01,[RT] 20211026_Blank_02,[RT] 20211026_Blank_01,[RT] 20211026_B6_rep01,[RT] 20211026_B5_rep01,[RT] 20211026_B4_rep01,[RT] 20211026_B3_rep01,[RT] 20211026_B2_rep01,[RT] 20211026_B1_rep01,[RT] 20211026_A6_rep01,[RT] 20211026_A5_rep01,[RT] 20211026_A4_rep01,[RT] 20211026_A3_rep01,[RT] 20211026_A2_rep01,[RT] 20211026_A1_rep01,[Area] 20211026_D6_rep01,[Area] 20211026_D5_rep01,[Area] 20211026_D4_rep01,[Area] 20211026_D3_rep01,[Area] 20211026_D2_rep01,[Area] 20211026_D1_rep01,[Area] 20211026_CTRL_S_rep01,[Area] 20211026_CTRL_F_rep01,[Area] 20211026_C6_rep01,[Area] 20211026_C5_rep01,[Area] 20211026_C4_rep01,[Area] 20211026_C3_rep01,[Area] 20211026_C2_rep01,[Area] 20211026_C1_rep01,[Area] 20211026_Blank_02,[Area] 20211026_Blank_01,[Area] 20211026_B6_rep01,[Area] 20211026_B5_rep01,[Area] 20211026_B4_rep01,[Area] 20211026_B3_rep01,[Area] 20211026_B2_rep01,[Area] 20211026_B1_rep01,[Area] 20211026_A6_rep01,[Area] 20211026_A5_rep01,[Area] 20211026_A4_rep01,[Area] 20211026_A3_rep01,[Area] 20211026_A2_rep01,[Area] 20211026_A1_rep01,[Score (MFE)] 20211026_D6_rep01,[Score (MFE)] 20211026_D5_rep01,[Score (MFE)] 20211026_D4_rep01,[Score (MFE)] 20211026_D3_rep01,[Score (MFE)] 20211026_D2_rep01,[Score (MFE)] 20211026_D1_rep01,[Score (MFE)] 20211026_CTRL_S_rep01,[Score (MFE)] 20211026_CTRL_F_rep01,[Score (MFE)] 20211026_C6_rep01,[Score (MFE)] 20211026_C5_rep01,[Score (MFE)] 20211026_C4_rep01,[Score (MFE)] 20211026_C3_rep01,[Score (MFE)] 20211026_C2_rep01,[Score (MFE)] 20211026_C1_rep01,[Score (MFE)] 20211026_Blank_02,[Score (MFE)] 20211026_Blank_01,[Score (MFE)] 20211026_B6_rep01,[Score (MFE)] 20211026_B5_rep01,[Score (MFE)] 20211026_B4_rep01,[Score (MFE)] 20211026_B3_rep01,[Score (MFE)] 20211026_B2_rep01,[Score (MFE)] 20211026_B1_rep01,[Score (MFE)] 20211026_A6_rep01,[Score (MFE)] 20211026_A5_rep01,[Score (MFE)] 20211026_A4_rep01,[Score (MFE)] 20211026_A3_rep01,[Score (MFE)] 20211026_A2_rep01,[Score (MFE)] 20211026_A1_rep01,[Score (Tgt)] 20211026_D6_rep01,[Score (Tgt)] 20211026_D5_rep01,[Score (Tgt)] 20211026_D4_rep01,[Score (Tgt)] 20211026_D3_rep01,[Score (Tgt)] 20211026_D2_rep01,[Score (Tgt)] 20211026_D1_rep01,[Score (Tgt)] 20211026_CTRL_S_rep01,[Score (Tgt)] 20211026_CTRL_F_rep01,[Score (Tgt)] 20211026_C6_rep01,[Score (Tgt)] 20211026_C5_rep01,[Score (Tgt)] 20211026_C4_rep01,[Score (Tgt)] 20211026_C3_rep01,[Score (Tgt)] 20211026_C2_rep01,[Score (Tgt)] 20211026_C1_rep01,[Score (Tgt)] 20211026_Blank_02,[Score (Tgt)] 20211026_Blank_01,[Score (Tgt)] 20211026_B6_rep01,[Score (Tgt)] 20211026_B5_rep01,[Score (Tgt)] 20211026_B4_rep01,[Score (Tgt)] 20211026_B3_rep01,[Score (Tgt)] 20211026_B2_rep01,[Score (Tgt)] 20211026_B1_rep01,[Score (Tgt)] 20211026_A6_rep01,[Score (Tgt)] 20211026_A5_rep01,[Score (Tgt)] 20211026_A4_rep01,[Score (Tgt)] 20211026_A3_rep01,[Score (Tgt)] 20211026_A2_rep01,[Score (Tgt)] 20211026_A1_rep01
gamma_Aminobutyric_Acid,C4 H9 N O2,103.0635,1.22,,103.0636,103.0637,103.0634,103.0635,103.0634,103.0633,103.0634,103.0634,103.0633,103.0635,103.0634,103.0638,103.0637,103.0635,103.0635,103.0634,103.0638,103.0634,103.0637,103.0637,103.0635,103.0635,103.0637,103.0637,103.0634,103.0634,103.0635,103.0633,1.203,1.202,1.215,1.474,1.209,1.218,1.479,1.48,1.471,1.205,1.222,1.231,1.195,1.221,1.209,1.356,1.219,1.473,1.226,1.2,1.197,1.219,1.205,1.197,1.205,1.476,1.217,1.476,85572,88558,75093,29186,106176,82055,32337,15245,14051,84202,66229,42471,107887,53024,943054,14778,61765,36170,42813,58311,127883,87110,58552,104903,64671,15172,124221,95415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.46,47.55,71.34,64.84,70.42,71.01,69.41,68.53,70.04,47.61,70.48,47.6,47.45,70.98,71.15,47.61,47.54,71.18,64.63,47.44,71.31,71.28,47.6,47.54,71.08,60.73,71.19,71.27
Glyceric_acid,C3 H6 O4,106.0262,4.21,,,,106.0263,106.0262,106.0263,106.0261,,106.0262,,,106.0263,106.0263,,106.0262,106.0263,,106.0263,106.0262,,,,106.0261,106.0262,106.0262,,,106.0261,,,,4.233,4.209,4.236,4.212,,4.232,,,4.198,4.183,,4.181,4.189,,4.179,4.25,,,,4.163,4.215,4.191,,,4.219,,,,3053,24553,28306,35658,,78560,,,5627,21655,,35165,318772,,13926,4517,,,,99830,9392,2996,,,28173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.28,83.05,79.57,82.1,,85.31,,,77.63,82.17,,82.55,86.57,,78.09,72.27,,,,85.55,75.86,68.94,,,80.56,
Glycerol_3_phosphate,C3 H9 O6 P,172.0135,7.24,,,172.0129,172.0131,172.0133,172.0135,172.0133,172.0139,172.0131,172.0139,172.0151,172.0139,172.0121,172.0131,172.0148,,,,172.0135,172.0152,172.0134,172.013,172.0134,172.0142,172.0134,,172.014,172.0147,172.0139,,7.239,7.293,7.227,7.262,7.263,7.241,7.217,7.299,7.2,7.291,7.276,7.173,7.257,,,,7.227,7.229,7.236,7.184,7.239,7.25,7.234,,7.222,7.237,7.205,,12674,9702,8806,13811,19366,7493,1575,10317,13233,4369,6806,10233,18292,,,,16339,8188,12398,14990,12915,7923,11675,,11447,12920,12442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.04,67.46,64.49,65.45,67.66,66.88,68.07,66.47,64.34,66.66,51.9,67.91,64.78,,,,68.07,57.63,65.56,68.07,67.13,63.64,63.61,,56.27,64.7,64.78
Glycine,C2 H5 N O2,75.032,1.28,,75.0322,75.0317,75.0316,75.0326,75.032,75.0316,75.0316,75.0316,75.0316,75.0324,75.0319,75.0317,75.0322,75.0323,75.0324,75.0319,75.0317,75.0317,75.0325,75.0319,75.0318,75.032,75.0326,75.0321,75.0319,75.0326,75.0323,75.032,1.278,1.26,1.29,1.282,1.242,1.293,1.321,1.306,1.296,1.263,1.28,1.273,1.27,1.271,1.339,1.248,1.277,1.282,1.301,1.258,1.264,1.278,1.28,1.281,1.272,1.268,1.267,1.277,121161,125016,80453,140824,74454,253823,187621,218962,91224,101033,172070,143076,102533,200925,34543,140580,112777,92645,162848,166580,174124,302127,119548,116807,143513,131038,126142,270161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.33,68.63,67.75,65.33,87.24,87.96,81.06,83.91,67.48,66.5,87.69,87.71,87.79,87.85,60.48,87.9,68.55,68.36,87.73,87.59,68.21,87.78,64.63,69.55,87.62,87.82,87.1,87.89
Homocitric_acid,C7 H10 O7,206.0421,12.15,,206.0416,206.0421,206.0421,206.0424,206.0423,206.0423,206.0414,206.0409,206.0421,206.0421,206.0422,206.0421,206.0423,206.0421,206.0412,206.0406,206.0422,206.0421,206.0421,206.0422,206.0424,206.0417,206.0421,206.0422,206.0423,206.0421,206.0422,206.0423,12.112,12.136,12.19,12.15,12.176,12.152,12.164,12.156,12.155,12.122,12.164,12.148,12.129,12.146,12.146,12.174,12.128,12.149,12.151,12.133,12.139,12.145,12.147,12.148,12.122,12.136,12.167,12.127,73197,192923,63624,235788,414984,196775,11468,13801,69560,166331,101906,205915,508851,159995,81950,16493,56658,142311,81388,153447,496680,129723,61340,152538,80645,204046,567086,97187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.55,86.61,85.1,86.5,86.29,86.07,67.84,68.73,85.61,84.13,85.84,86.35,86.63,84.6,34.35,47.29,85.36,86.38,83.88,85.77,86.67,84,82.36,85.2,85.71,84.82,85.96,85.31
IMP,C10 H13 N4 O8 P,348.0463,9.09,,348.0464,348.0465,348.0463,348.0462,348.0461,348.0463,,,348.0465,348.0467,348.0461,348.0462,348.0463,348.0462,,,348.0465,348.0465,348.0459,348.0462,348.0463,348.0464,348.0461,348.0463,348.0461,348.0455,348.0461,348.0467,9.044,9.026,9.147,9.107,9.133,9.109,,,9.12,9.037,9.095,9.105,9.011,9.095,,,9.06,9.106,9.117,9.057,9.046,9.068,9.112,9.105,9.054,9.043,9.091,9.034,19611,25813,44072,40437,46236,65201,,,14482,18597,64781,45065,57893,52961,,,17673,33579,47208,43199,61198,57318,21843,34460,42204,29225,58219,51405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.17,67.52,76,74.08,74.23,78,,,67.47,68.59,78.3,75.31,76.75,75.73,,,67.39,72.45,74.73,73.89,78.41,78.7,68.46,75.74,75.87,71.15,77.83,80.06
Inosine,C10 H12 N4 O5,268.0804,4.08,,,,268.0804,268.0804,268.0803,268.0804,,,,,268.0804,268.0806,,,,,,268.0811,268.0807,,,,,,,,268.0802,,,,4.191,4.051,4.161,4.095,,,,,4.082,4.083,,,,,,4.067,4.078,,,,,,,,4.086,,,,17767,10181,159501,9276,,,,,20121,10432,,,,,,10646,12240,,,,,,,,29911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,79.07,84.75,80.48,,,,,82.13,80.5,,,,,,84.78,81.76,,,,,,,,84.14,
Itaconic_Acid,C5 H6 O4,130.0261,11.82,,130.026,130.0263,130.0261,130.0261,130.0261,130.0264,130.026,130.0259,130.0256,130.0261,130.0261,130.0262,130.0263,130.0261,130.0247,130.025,130.026,130.0263,130.0261,130.0261,130.0263,130.0262,130.0251,130.0261,130.0257,130.026,130.0261,130.026,11.804,11.803,11.874,11.85,11.86,11.82,11.848,11.857,11.856,11.781,11.848,11.84,11.788,11.822,11.835,11.833,11.812,11.825,11.835,11.809,11.798,11.812,11.856,11.815,11.806,11.811,11.843,11.803,96226,237296,92950,247845,184909,314992,93195,93422,127039,239644,152569,185746,204482,331079,127086,43090,90899,211501,168596,168728,245302,187911,102124,199013,160453,163755,176466,87535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.93,87.29,81.51,86.13,86.15,87.79,77.51,79.62,81.41,86.55,86.19,86.91,87.58,86.63,68.27,64.3,85.7,87.54,85.71,86.32,87.58,87.34,83.51,86.61,86.09,85.95,86.18,83.66
keto_Isovaleric_acid,C5 H8 O3,116.0472,11.68,,116.0472,116.0473,116.0471,116.0472,116.0471,116.0473,116.0473,116.0473,116.0473,116.0471,116.0472,116.0472,116.0472,116.0472,116.0473,116.0473,116.0472,116.047,116.0472,116.0472,116.0474,116.0472,116.0471,116.047,116.0473,116.0471,116.0469,116.0473,11.671,11.679,11.492,11.717,11.478,11.695,11.706,11.716,11.706,11.673,11.723,11.716,11.672,11.706,11.671,11.683,11.679,11.475,11.702,11.684,11.69,11.679,11.706,11.458,11.681,11.687,11.486,11.662,3156175,2291157,31167,3046665,113239,1950918,2510578,2649895,1982985,2840684,3197369,2994180,2759251,2173231,6591407,1469647,2887699,123616,2532462,3100595,2006099,2991582,2957249,45068,2817177,3029618,97658,3397654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.34,85.83,86.37,86.12,86.72,86.29,86.86,86.71,86.9,85.11,85.96,86.01,85.67,85.52,86.67,86.05,85.94,86.05,85.89,86.38,86.22,85.8,85.04,86.65,86.23,85.46,86.08,86.43
L_Alanine,C3 H7 N O2,89.0483,1.22,,89.049,89.0483,89.0483,89.0466,89.049,89.0498,89.0471,89.0474,89.0482,89.0469,89.0488,89.0483,89.0475,89.0477,89.0484,89.0479,89.0484,89.0484,89.0477,89.0484,89.0484,89.0475,89.0472,89.0492,89.0484,89.047,89.0461,89.0488,1.203,1.202,1.215,1.233,1.209,1.268,1.305,1.306,1.197,1.197,1.213,1.223,1.27,1.271,1.339,1.257,1.194,1.215,1.376,1.416,1.206,1.261,1.197,1.197,1.197,1.227,1.275,1.268,21346,21970,8898,96737,13120,15131,462,1765,19911,18720,9538,92190,8899,10283,72265,311150,12306,20038,1077,67243,18983,11120,20760,34092,11065,95856,20139,43116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.12,66.14,58.89,68.69,69.41,47.6,61.73,68.59,59.3,69.46,68.03,64.18,68.8,69.2,57.54,47.62,67.21,62.67,69.12,66.37,65.65,68.9,67.06,68,69.72,66.27,69.63,66.83
L_Arabinose,C5 H10 O5,150.0531,1.32,,150.0546,150.0543,150.0539,150.0531,150.0526,150.054,150.0529,150.0528,150.0547,150.0529,150.0527,150.0541,150.0528,150.0527,,150.0506,150.0548,150.0542,150.0531,150.0527,150.0541,150.0553,150.0532,150.0528,150.0526,150.0532,150.0528,150.0527,1.286,1.319,1.323,1.341,1.342,1.327,1.205,1.206,1.296,1.321,1.321,1.323,1.337,1.337,,1.381,1.286,1.332,1.326,1.324,1.33,1.311,1.305,1.305,1.321,1.335,1.342,1.335,707156,556209,525011,630227,608088,644928,9059,3176,640157,560896,530982,600507,525400,626762,,35878,668673,590365,539424,581654,625251,499430,586260,497874,563713,477704,571219,558044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,66.4,68.73,70.97,66.92,74.07,62.63,64.85,65.22,73.57,68.03,70.7,62.86,74.08,,55.91,64.03,69.84,72.73,68.84,64.5,60.9,82.09,70.84,70.37,71.62,65.99,71.6
L_Arginine,C6 H14 N4 O2,174.1105,1.16,,174.1103,174.1105,,174.1109,174.11,174.1122,,,174.1124,174.1106,174.1098,174.1128,174.1102,174.1105,,174.1112,174.1098,174.1109,174.1109,174.1101,174.1106,174.1099,174.111,174.1102,174.1099,174.1112,174.1104,174.1101,1.162,1.152,,1.166,1.176,1.169,,,1.155,1.155,1.155,1.165,1.162,1.163,,1.099,1.144,1.165,1.151,1.15,1.164,1.153,1.163,1.147,1.155,1.144,1.167,1.152,98931,33687,,298394,89038,83934,,,85262,24918,41399,111748,123429,52098,,133378,70065,26010,30386,341764,124154,77567,113946,24955,34668,322374,88524,51364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9,60.91,,69.38,62.74,58.93,,,62.58,68.19,58.29,60.94,64.67,68.1,,64.26,60.42,60.71,69.89,61.86,60.87,62.52,69.96,65.7,60.17,70.28,67.08,65.1
L_Asparagine,C4 H8 N2 O3,132.0531,1.27,,132.0522,132.0533,132.053,132.053,132.0531,132.054,132.0542,132.0538,132.0525,132.0527,132.0526,132.0537,132.0529,132.0527,132.0531,132.0535,132.0527,132.0531,132.0531,132.0526,132.0536,132.0525,132.0531,132.0527,132.0522,132.0532,132.0532,132.0524,1.261,1.26,1.265,1.266,1.267,1.268,1.305,1.389,1.255,1.263,1.255,1.264,1.27,1.262,1.339,1.248,1.252,1.257,1.268,1.266,1.264,1.269,1.305,1.256,1.272,1.277,1.267,1.26,89164,269274,217158,313994,443114,321587,17631,3065,119526,248944,283053,294122,424521,320472,549072,850266,55599,318696,196412,260131,490278,135746,32204,246857,237173,240436,544473,239258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.31,68.87,74.15,76.6,86.02,83.52,64.65,67.48,68.75,70.24,78.7,83.48,81.91,75.25,87.56,87.11,69.41,75.91,74.67,79.36,86.76,78.18,70.33,73.84,66.62,74.59,85.88,76.49
L_Aspartic_Acid,C4 H7 N O4,133.0375,3.31,,133.0375,133.0375,133.0376,,,133.0376,,,133.0376,133.0375,133.0376,133.0376,133.0375,133.0375,,,133.0375,133.0376,133.0375,133.0375,133.0376,133.0375,133.0375,133.0375,133.0376,133.0376,,133.0375,3.298,3.297,3.335,,,3.305,,,3.35,3.275,3.308,3.343,3.282,3.266,,,3.324,3.335,3.33,3.303,3.309,3.298,3.342,3.343,3.25,3.297,,3.247,5831482,38855747,97569152,,,108241368,,,14467962,43501939,96611420,5419016,27554742,118242754,,,8649422,48327239,97825636,15842694,27026753,87062666,7005233,40580018,106730066,4563696,,95432593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.27,87.48,87.37,,,87.48,,,87.49,87.24,87.33,87.36,87.38,87.28,,,87.43,87.47,87.36,87.39,87.46,87.39,87.18,87.31,87.35,87.21,,87.36
L_Citrulline,C6 H13 N3 O3,175.0956,1.31,,175.0956,175.0967,175.0956,175.0954,175.0962,175.0949,175.0934,175.0935,175.0957,175.0963,175.0957,175.0957,175.0964,175.0954,175.0937,175.0948,175.0957,175.0966,175.095,175.0957,175.0966,175.0953,175.0955,175.0966,175.0952,175.0954,175.0962,175.095,1.311,1.319,1.315,1.299,1.309,1.302,1.18,1.198,1.305,1.313,1.313,1.314,1.312,1.304,1.339,1.282,1.311,1.323,1.301,1.308,1.305,1.311,1.321,1.314,1.313,1.31,1.317,1.31,1087427,2025469,127935,613670,2319801,146686,8341,15594,591441,1980562,371745,651969,2456927,81695,960769,87592,536146,1549759,223068,765629,2260929,86320,1159999,1685491,364283,770789,2318390,88553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.08,49.31,65.77,47.46,74.51,67.22,65.22,58.55,47.58,62.45,58.45,47.55,64.52,61.97,55.87,45.26,62.13,54.68,47.12,57.07,69.65,54.34,47.57,58.87,58.09,56.91,70.78,60.75
L_Cystathionine,C7 H14 N2 O4 S,222.0684,1.16,,222.0721,222.0676,222.0674,222.068,222.0679,222.0673,222.0653,222.0659,222.0727,222.0687,222.0686,222.0682,222.0686,222.0678,,222.0676,222.0724,222.0734,222.0693,222.0723,222.0678,222.0689,222.0718,222.0685,222.0684,222.0727,222.0675,222.0684,1.145,1.144,1.157,1.249,1.259,1.152,1.355,1.314,1.13,1.155,1.155,1.248,1.145,1.254,,1.298,1.136,1.273,1.151,1.133,1.247,1.136,1.147,1.156,1.163,1.127,1.259,1.144,64544,7812,15346,26407,66235,21087,5445,46255,91455,13717,11933,18786,7895,18053,,44267,90849,761796,12262,64301,41981,14408,64025,9042,8287,73097,50064,13567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21,73.29,92.77,84.95,93.46,91.31,67.61,69.38,94.4,74.62,89.85,84.82,71.84,70.21,,75.99,83.05,31.56,73.33,86.73,94.24,66.98,79.75,78.43,86.37,82.92,87.16,84.31
L_Dihydroorotic_acid,C5 H6 N2 O4,158.0328,6.96,,158.0328,158.0328,158.0328,158.0331,158.033,158.0325,,,158.0327,158.0321,158.0331,158.0325,158.0328,158.0331,158.0333,,158.0331,158.0329,158.0324,158.033,158.0327,158.0329,158.0319,158.0332,158.0329,158.0324,158.0329,158.0328,6.932,6.956,7.018,6.961,6.996,6.98,,,7.008,6.917,6.984,6.968,6.916,6.975,6.921,,6.956,6.977,6.98,6.937,6.943,6.94,6.984,6.976,6.917,6.922,6.987,6.947,20607,22431,10560,41920,30115,55277,,,16400,18488,25792,35701,42483,42284,237629,,12214,29605,32240,34642,49306,38021,20207,23524,37503,32141,52717,47403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.94,74.36,74.36,77.64,77.47,83.08,,,70.22,79.48,80.29,68.75,85.25,80.19,86.76,,69.04,80.5,75.23,73.55,80.71,72.21,65.4,76.96,77.09,80.77,81.06,83.34
L_Glutamic_acid,C5 H9 N O4,147.0531,2.67,,147.053,147.0532,147.0532,147.053,,147.0532,,,147.0532,147.053,147.0531,147.0532,147.0531,147.053,,,147.0531,,147.053,147.0531,147.0532,147.0531,,147.0532,147.0532,147.053,147.0531,147.0532,2.667,2.674,2.695,2.688,,2.698,,,2.693,2.643,2.677,2.694,2.659,2.659,,,2.674,,2.689,2.655,2.686,2.674,,2.686,2.652,2.665,2.697,2.656,55247740,116919578,17610479,48913395,,10714103,,,23525876,120019927,22155999,45609165,102193444,8664251,,,40743202,,22244747,48774694,111285994,8301045,,109604250,24407462,45462638,115947008,5939397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.81,87.55,87.76,87.63,,87.45,,,87.77,87.79,87.79,87.76,87.68,87.31,,,87.75,,87.48,87.72,87.44,87.45,,87.62,87.73,87.45,87.73,87.53
L_Glutamine,C5 H10 N2 O3,146.0693,1.28,,146.0693,146.0692,146.0695,146.0691,146.0693,146.0694,,146.068,146.0695,146.0692,146.0694,146.0692,146.0693,146.0693,146.069,146.0692,146.0694,146.0693,146.0694,146.0693,146.0692,146.0693,146.0693,146.0693,146.0694,146.0691,146.0692,146.0694,1.27,1.269,1.281,1.274,1.276,1.277,,1.289,1.28,1.271,1.28,1.273,1.287,1.279,1.339,1.265,1.277,1.273,1.276,1.274,1.272,1.278,1.28,1.272,1.28,1.277,1.275,1.277,4536159,8374994,1961630,10155022,5970824,1641858,,28451,3617002,8298816,3231890,9983152,6162236,1411912,1204517,1397759,3346655,6877024,2078120,9678407,6322231,1205141,4769008,5846745,2892955,9175891,7431115,1227652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.17,87.38,86.83,87.31,87.23,87.09,,70.25,86.93,87.37,86.84,87.33,87.19,87.07,87.57,87.71,86.99,87.24,86.92,87.27,87.37,87.02,87.21,87.25,86.81,87.28,87.3,86.96
L_Glutathione_oxidized,C20 H32 N6 O12 S2,612.15,11.57,,612.1502,612.1501,612.1501,612.15,612.15,612.1504,,,612.1501,612.1495,612.1503,612.15,612.1499,612.1522,,,612.1501,612.1499,612.1495,612.1501,612.15,612.1503,612.1497,612.15,612.1509,612.1494,612.15,612.1518,11.538,11.546,11.616,11.568,11.594,11.578,,,11.581,11.54,11.59,11.574,11.539,11.564,,,11.554,11.575,11.578,11.543,11.557,11.554,11.582,11.566,11.54,11.554,11.585,11.537,410596,190128,25471,283984,318555,30823,,,321519,105841,44678,221530,239030,15005,,,250356,127250,41330,184261,272398,37523,250634,126445,38532,129522,116461,15911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.63,92.3,88.2,91.31,91.43,65.82,,,91.96,89.84,88.15,92.19,91.1,80.94,,,91.17,91.14,89.56,91.11,91.33,90.14,90.73,89.95,91.42,89.53,89.17,63.46
L_Histidine,C6 H9 N3 O2,155.0697,1.16,,155.0699,155.07,155.0695,155.0693,155.0705,155.0702,,155.0696,155.0696,155.0688,155.0699,155.07,155.0694,155.0694,155.0697,155.0697,155.0696,155.0699,155.0695,155.0695,155.0698,155.0697,155.0691,155.0703,155.0705,155.0695,155.0697,155.0702,1.162,1.161,1.157,1.166,1.168,1.169,,1.114,1.155,1.163,1.163,1.173,1.154,1.163,1.079,1.107,1.153,1.174,1.168,1.15,1.156,1.153,1.163,1.156,1.172,1.152,1.159,1.16,78104,49351,13385,205293,91703,105958,,41410,67650,59167,64612,206562,73260,83939,282321,109005,55737,35410,76783,111577,91674,147004,84109,26658,37890,171478,99357,71541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.53,62.1,65.36,55.07,64.92,62.38,,64.1,65.25,60.1,60.69,59.99,49.29,59.24,63.86,63.42,61.21,62.85,55.89,58.99,62.82,63.3,56.2,60.21,61.23,56.87,65.47,62
L_Homoserine,C4 H9 N O3,119.0582,1.3,,119.0581,119.0573,119.0571,119.0588,119.0579,119.0576,119.0577,119.0583,119.0572,119.0589,119.0578,119.0574,119.0588,119.0585,119.0582,119.058,119.0587,119.0572,119.0589,119.0577,119.0587,119.0587,119.0589,119.058,119.0578,119.0588,119.0589,119.0587,1.286,1.294,1.306,1.316,1.292,1.302,1.313,1.297,1.313,1.288,1.338,1.298,1.278,1.321,1.339,1.273,1.311,1.332,1.301,1.166,1.305,1.294,1.313,1.314,1.288,1.144,1.3,1.285,1009147,730746,597579,1325754,622949,3290276,7438,113320,792834,587834,1485463,1342808,1044985,2501529,1420450,480981,890535,675229,1798461,3178,1007180,3671437,1141192,694926,1466508,5639,852865,3601181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.32,57.77,56.48,60.83,63.33,64.37,64.73,63.11,63.92,59.78,58.56,57.02,63.02,61.99,58.82,57.83,57.91,57.32,59.83,59.85,57.68,63.42,54.01,62.95,58.56,62.7,61.34,63.38
L_Isoleucine,C6 H13 N O2,131.0944,2.29,,131.0942,131.0945,131.0946,131.0942,131.0944,131.0946,,131.0942,131.0945,131.0943,131.0943,131.0945,131.0944,131.0943,131.0948,131.0949,131.0943,131.0943,131.0941,131.0944,131.0943,131.0945,131.0941,131.0944,131.0944,131.0942,131.0942,131.0945,2.267,2.441,2.304,2.28,2.307,2.291,,2.287,2.294,2.435,2.277,2.287,2.442,2.277,2.414,2.304,2.275,2.279,2.29,2.264,2.278,2.267,2.286,2.287,2.269,2.274,2.29,2.274,336566,398202,255066,637507,345646,846756,,108949,261970,431118,488871,608819,797340,753847,6565366,1843791,319633,520119,396558,674459,416201,652347,399701,432439,391905,439667,274878,348452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.77,85.09,59.55,84.66,81.74,86.11,,61.11,84.41,86.64,81.28,84.58,83.56,86.39,87.5,87.26,83.64,82.22,81.13,84.3,81.84,86.56,83.14,82.53,82.18,85.28,79.61,86.55
L_Leucine,C6 H13 N O2,131.0944,2.46,,131.0943,131.0945,131.0944,131.0941,131.0944,131.0944,,131.0944,131.0943,131.0943,131.0944,131.0944,131.0944,131.0943,131.0948,,131.0945,131.0945,131.0941,131.0944,131.0945,131.0944,131.0941,131.0944,131.0944,131.0941,131.0943,131.0945,2.442,2.441,2.479,2.471,2.49,2.466,,2.478,2.46,2.435,2.469,2.478,2.442,2.46,2.414,,2.45,2.471,2.465,2.439,2.453,2.467,2.477,2.461,2.452,2.449,2.473,2.457,215668,398202,149976,453002,528094,409272,,361737,78394,489012,531164,248513,792345,440010,7059186,,183587,688439,242205,452138,441822,265297,401927,443722,271002,173520,230259,285865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.84,85.09,55.86,77.08,84.43,86.71,,61.28,82.58,86.25,84.6,83.49,83.56,81.88,87.5,,60.17,84.93,80.28,83.3,85.87,84.13,76.18,83.29,81.47,80.13,83.64,86.39
